rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,category,demographics,content_style,collaboration_rate,embedding
88,robertdowneyjr,86,0.42k,53400000,3000000,2.05%,1100000,1.3b,United States,Acting,"{'age_range': '55-60', 'gender': 'Male', 'languages': ['English']}","{'tone': 'Witty', 'formats': ['Photos', 'Videos'], 'themes': ['Acting', 'Technology', 'Philanthropy', 'Lifestyle']}",8.9,[]
89,sunnyleone,84,4.6k,53400000,764000,0.57%,301300,3.5b,,Entertainment & Talk Show,"{'age_range': '40-45', 'gender': 'Female', 'languages': ['English', 'Hindi']}","{'tone': 'Glamorous', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Entertainment', 'Fashion', 'Beauty', 'Lifestyle']}",8.5,[]
90,ladygaga,83,3.6k,53200000,1400000,1.02%,531600,5.1b,United States,Acting & Music,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['English', 'Italian']}","{'tone': 'Artistic', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Acting', 'Fashion', 'Social Activism']}",9.0,[]
91,dishapatani,74,2.1k,53000000,1600000,1.85%,971700,3.4b,United States,Acting & Fashion,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['Hindi', 'English']}","{'tone': 'Energetic', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Acting', 'Fitness', 'Fashion', 'Dance']}",8.7,[]
92,sergioramos,87,2.2k,52800000,1100000,1.06%,557900,2.5b,,Sports (Football),"{'age_range': '35-40', 'gender': 'Male', 'languages': ['Spanish', 'English']}","{'tone': 'Professional', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Football', 'Fashion', 'Family', 'Lifestyle']}",8.8,[]
93,jbalvin,87,10.0k,52800000,878000,0.66%,340500,8.8b,,Music & K-pop,"{'age_range': '35-40', 'gender': 'Male', 'languages': ['Spanish', 'English']}","{'tone': 'Colorful', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Music', 'Latin Culture', 'Fashion', 'Mental Health']}",8.9,[]
94,mosalah,22,0.84k,52500000,1800000,2.18%,1100000,1.5b,,Sports (Football),"{'age_range': '30-35', 'gender': 'Male', 'languages': ['Arabic', 'English']}","{'tone': 'Humble', 'formats': ['Photos', 'Videos'], 'themes': ['Football', 'Family', 'Faith', 'Charity']}",8.6,[]
95,ayutingting92,85,10.0k,52400000,147300,0.11%,56300,1.5b,Indonesia,Music & K-pop,"{'age_range': '30-35', 'gender': 'Female', 'languages': ['Indonesian', 'English']}","{'tone': 'Cheerful', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Music', 'Entertainment', 'Fashion', 'Family']}",8.5,[]
96,433,79,10.3k,51200000,863200,1.52%,774200,8.9b,Netherlands,Music & K-pop,"{'age_range': 'All', 'gender': 'Brand', 'languages': ['English']}","{'tone': 'Engaging', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Football', 'Sports News', 'Highlights', 'Fan Content']}",8.4,[]
97,hudabeauty,82,2.4k,50800000,186400,0.04%,16800,453.6m,United States,Acting & Beauty,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['English', 'Arabic']}","{'tone': 'Educational', 'formats': ['Photos', 'Videos', 'Tutorials'], 'themes': ['Beauty', 'Makeup', 'Skincare', 'Entrepreneurship']}",9.3,[]
98,adele,84,0.42k,50700000,4700000,3.82%,1900000,2.0b,United States,Music,"{'age_range': '35-40', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Authentic', 'formats': ['Photos', 'Videos'], 'themes': ['Music', 'Performance', 'Personal Life', 'Art']}",8.8,[]
99,michelleobama,85,0.60k,50700000,700500,1.22%,611200,421.7m,,Acting & Fashion,"{'age_range': '55-60', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Inspirational', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Education', 'Social Justice', 'Health', 'Family']}",8.9,[]
100,kritisanon,76,2.7k,50200000,897200,1.21%,604400,2.4b,India,Acting & Fashion,"{'age_range': '30-35', 'gender': 'Female', 'languages': ['Hindi', 'English']}","{'tone': 'Vibrant', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Acting', 'Fashion', 'Fitness', 'Lifestyle']}",8.6,[]
101,jamesrodriguez10,86,1.1k,49900000,1400000,0.75%,363900,1.5b,Colombia,Sports (Football),"{'age_range': '30-35', 'gender': 'Male', 'languages': ['Spanish', 'English', 'Portuguese']}","{'tone': 'Professional', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Football', 'Lifestyle', 'Family', 'Fashion']}",8.7,[]
102,krisjenner,80,6.4k,49700000,356800,0.91%,452900,2.3b,United States,Acting & Fashion,"{'age_range': '65-70', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Business', 'formats': ['Photos', 'Videos', 'Stories'], 'themes': ['Family', 'Business', 'Lifestyle', 'Entertainment']}",9.1,[]
103,thv,83,0.06k,49300000,15400000,25.80%,12600000,987.4m,,Entertainment & Talk Show,"{'age_range': '25-30', 'gender': 'Male', 'languages': ['Korean', 'English']}","{'tone': 'Artistic', 'formats': ['Photos', 'Videos'], 'themes': ['K-pop', 'Fashion', 'Art', 'Music']}",9.2,[]
104,lelepons,81,2.5k,49200000,2400000,3.55%,1700000,6.1b,United States,Acting & Fashion,"{'age_range': '25-30', 'gender': 'Female', 'languages': ['English', 'Spanish']}","{'tone': 'Comedic', 'formats': ['Photos', 'Videos', 'Reels'], 'themes': ['Comedy', 'Dance', 'Lifestyle', 'Entertainment']}",8.8,[]
105,charlidamelio,80,0.15k,49100000,4200000,3.28%,1600000,654.4m,,Acting & Fashion,"{'age_range': '15-20', 'gender': 'Female', 'languages': ['English']}","{'tone': 'Youthful', 'formats': ['Photos', 'Videos', 'Dance'], 'themes': ['Dance', 'Fashion', 'Lifestyle', 'Social Media']}",8.9,[]
